[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.41679823  0.          0.          0.58320177],[ 0.67256078  0.32743922  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.7922324  0.         0.         0.2077676],[ 0.76528786  0.23471214  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.12598674  0.          0.          0.87401326],[ 0.90948321  0.09051679  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.62540785  0.          0.          0.37459215],[ 0.88674876  0.11325124  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.09872645  0.          0.          0.90127355],[ 0.96800337  0.03199663  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.58572782  0.          0.          0.41427218],[ 0.88138091  0.11861909  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.32122934  0.          0.          0.67877066],[ 0.90095779  0.09904221  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.07020314  0.          0.          0.92979686],[ 0.95705715  0.04294285  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.31280918  0.          0.          0.68719082],[ 0.79981055  0.20018945  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.99179034  0.          0.          0.00820966],[ 0.28523313  0.71476687  0.          0.        ]
