,room,game,condition,first_player,move,agreement
10,15,11,partial,1,10,0.5
11,15,11,partial,1,11,0.0
12,15,11,partial,1,12,0.0
13,15,11,partial,1,13,1.0
14,15,11,partial,1,14,0.3333333333333333
0,15,17,partial,1,0,0.25
1,15,17,partial,1,1,1.0
2,15,17,partial,1,2,0.0
3,15,17,partial,1,3,0.0
4,15,17,partial,1,4,0.0
5,15,17,partial,1,5,0.0
6,15,17,partial,1,6,1.0
7,15,17,partial,1,7,0.0
8,15,17,partial,1,8,0.0
9,15,17,partial,1,9,0.5
10,15,17,partial,1,10,0.0
11,15,17,partial,1,11,1.0
12,15,17,partial,1,12,0.0
13,15,17,partial,1,13,1.0
14,15,17,partial,1,14,1.0
0,15,6,partial,0,0,0.25
1,15,6,partial,0,1,0.3333333333333333
2,15,6,partial,0,2,0.5
3,15,6,partial,0,3,0.0
4,15,6,partial,0,4,1.0
5,15,6,partial,0,5,0.0
6,15,6,partial,0,6,1.0
7,15,6,partial,0,7,0.0
8,15,6,partial,0,8,1.0
9,15,6,partial,0,9,1.0
10,15,6,partial,0,10,1.0
11,15,6,partial,0,11,0.0
12,15,6,partial,0,12,0.0
13,15,6,partial,0,13,0.0
14,15,6,partial,0,14,1.0
0,15,0,partial,0,0,0.25
1,15,0,partial,0,1,0.3333333333333333
2,15,0,partial,0,2,1.0
3,15,0,partial,0,3,0.5
4,15,0,partial,0,4,0.0
5,15,0,partial,0,5,0.0
6,15,0,partial,0,6,0.0
7,15,0,partial,0,7,0.5
8,15,0,partial,0,8,1.0
9,15,0,partial,0,9,0.0
10,15,0,partial,0,10,1.0
11,15,0,partial,0,11,0.5
12,15,0,partial,0,12,0.0
13,15,0,partial,0,13,0.0
14,15,0,partial,0,14,0.0
0,13,0,partial,0,0,0.25
1,13,0,partial,0,1,0.3333333333333333
2,13,0,partial,0,2,0.0
3,13,0,partial,0,3,0.0
4,13,0,partial,0,4,0.0
5,13,0,partial,0,5,0.5
6,13,0,partial,0,6,0.0
7,13,0,partial,0,7,0.0
8,13,0,partial,0,8,1.0
9,13,0,partial,0,9,0.0
10,13,0,partial,0,10,0.0
11,13,0,partial,0,11,0.0
12,13,0,partial,0,12,0.0
13,13,0,partial,0,13,0.0
14,13,0,partial,0,14,1.0
0,15,9,partial,1,0,0.25
1,15,9,partial,1,1,0.3333333333333333
2,15,9,partial,1,2,0.0
3,15,9,partial,1,3,1.0
4,15,9,partial,1,4,0.0
5,15,9,partial,1,5,1.0
6,15,9,partial,1,6,0.0
7,15,9,partial,1,7,1.0
8,15,9,partial,1,8,0.3333333333333333
9,15,9,partial,1,9,1.0
10,15,9,partial,1,10,0.5
11,15,9,partial,1,11,0.0
12,15,9,partial,1,12,0.5
13,15,9,partial,1,13,0.0
14,15,9,partial,1,14,0.0
0,19,7,partial,1,0,0.25
1,19,7,partial,1,1,0.3333333333333333
2,19,7,partial,1,2,0.0
3,19,7,partial,1,3,0.5
4,19,7,partial,1,4,0.0
5,19,7,partial,1,5,0.0
6,19,7,partial,1,6,1.0
7,19,7,partial,1,7,0.0
8,19,7,partial,1,8,0.0
9,19,7,partial,1,9,0.0
10,19,7,partial,1,10,0.0
11,19,7,partial,1,11,1.0
12,19,7,partial,1,12,0.0
13,19,7,partial,1,13,0.0
14,19,7,partial,1,14,0.0
0,19,9,partial,1,0,0.25
1,19,9,partial,1,1,0.0
2,19,9,partial,1,2,0.0
3,19,9,partial,1,3,0.0
4,19,9,partial,1,4,0.0
5,19,9,partial,1,5,1.0
6,19,9,partial,1,6,0.0
7,19,9,partial,1,7,0.0
8,19,9,partial,1,8,0.0
9,19,9,partial,1,9,1.0
10,19,9,partial,1,10,0.0
11,19,9,partial,1,11,1.0
12,19,9,partial,1,12,0.0
13,19,9,partial,1,13,1.0
14,19,9,partial,1,14,0.3333333333333333
0,15,13,partial,1,0,0.25
1,15,13,partial,1,1,1.0
2,15,13,partial,1,2,0.3333333333333333
3,15,13,partial,1,3,0.5
4,15,13,partial,1,4,1.0
5,15,13,partial,1,5,1.0
6,15,13,partial,1,6,0.0
7,15,13,partial,1,7,0.0
8,15,13,partial,1,8,0.0
9,15,13,partial,1,9,0.0
10,15,13,partial,1,10,1.0
11,15,13,partial,1,11,1.0
12,15,13,partial,1,12,0.0
13,15,13,partial,1,13,0.0
14,15,13,partial,1,14,0.0
0,19,15,partial,1,0,0.25
1,19,15,partial,1,1,0.0
2,19,15,partial,1,2,0.0
3,19,15,partial,1,3,1.0
4,19,15,partial,1,4,0.0
5,19,15,partial,1,5,1.0
6,19,15,partial,1,6,0.0
7,19,15,partial,1,7,0.0
8,19,15,partial,1,8,0.0
9,19,15,partial,1,9,0.0
10,19,15,partial,1,10,0.0
11,19,15,partial,1,11,0.0
12,19,15,partial,1,12,1.0
13,19,15,partial,1,13,0.0
14,19,15,partial,1,14,1.0
0,19,3,partial,1,0,0.25
1,19,3,partial,1,1,0.0
2,19,3,partial,1,2,0.0
3,19,3,partial,1,3,0.0
4,19,3,partial,1,4,0.0
5,19,3,partial,1,5,0.0
6,19,3,partial,1,6,0.5
7,19,3,partial,1,7,0.0
8,19,3,partial,1,8,1.0
9,19,3,partial,1,9,0.0
10,19,3,partial,1,10,0.0
11,19,3,partial,1,11,0.0
12,19,3,partial,1,12,1.0
13,19,3,partial,1,13,0.0
14,19,3,partial,1,14,0.0
0,15,4,partial,0,0,0.25
1,15,4,partial,0,1,0.3333333333333333
2,15,4,partial,0,2,1.0
3,15,4,partial,0,3,0.5
4,15,4,partial,0,4,1.0
5,15,4,partial,0,5,0.0
6,15,4,partial,0,6,0.0
7,15,4,partial,0,7,0.0
8,15,4,partial,0,8,0.0
9,15,4,partial,0,9,0.0
10,15,4,partial,0,10,0.0
11,15,4,partial,0,11,0.0
12,15,4,partial,0,12,0.0
13,15,4,partial,0,13,1.0
14,15,4,partial,0,14,1.0
0,19,16,partial,0,0,0.25
1,19,16,partial,0,1,0.0
2,19,16,partial,0,2,0.0
3,19,16,partial,0,3,0.0
4,19,16,partial,0,4,0.0
5,19,16,partial,0,5,0.0
6,19,16,partial,0,6,0.0
7,19,16,partial,0,7,0.0
8,19,16,partial,0,8,0.0
9,19,16,partial,0,9,0.0
10,19,16,partial,0,10,0.0
11,19,16,partial,0,11,0.0
12,19,16,partial,0,12,0.0
13,19,16,partial,0,13,0.0
14,19,16,partial,0,14,0.3333333333333333
0,13,14,partial,0,0,0.25
1,13,14,partial,0,1,0.3333333333333333
2,13,14,partial,0,2,0.5
3,13,14,partial,0,3,1.0
4,13,14,partial,0,4,1.0
5,13,14,partial,0,5,1.0
6,13,14,partial,0,6,1.0
7,13,14,partial,0,7,0.0
8,13,14,partial,0,8,1.0
9,13,14,partial,0,9,0.0
10,13,14,partial,0,10,1.0
11,13,14,partial,0,11,0.0
12,13,14,partial,0,12,1.0
13,13,14,partial,0,13,0.0
14,13,14,partial,0,14,1.0
0,19,4,partial,0,0,0.25
1,19,4,partial,0,1,1.0
2,19,4,partial,0,2,0.0
3,19,4,partial,0,3,0.0
4,19,4,partial,0,4,1.0
5,19,4,partial,0,5,1.0
6,19,4,partial,0,6,0.0
7,19,4,partial,0,7,0.0
8,19,4,partial,0,8,0.0
9,19,4,partial,0,9,0.0
10,19,4,partial,0,10,1.0
11,19,4,partial,0,11,0.0
12,19,4,partial,0,12,1.0
13,19,4,partial,0,13,0.0
14,19,4,partial,0,14,1.0
0,13,17,partial,1,0,0.25
1,13,17,partial,1,1,1.0
2,13,17,partial,1,2,0.0
3,13,17,partial,1,3,1.0
4,13,17,partial,1,4,0.0
5,13,17,partial,1,5,1.0
6,13,17,partial,1,6,0.0
7,13,17,partial,1,7,1.0
8,13,17,partial,1,8,1.0
9,13,17,partial,1,9,1.0
10,13,17,partial,1,10,0.0
11,13,17,partial,1,11,1.0
12,13,17,partial,1,12,0.0
