room,game,move,condition,player,chosen_arm,arm,value
13,1,0,partial,0,3,0,0.0
13,1,0,partial,0,3,1,0.0
13,1,0,partial,0,3,2,0.0
13,1,0,partial,0,3,3,0.0
13,1,1,partial,1,2,0,0.0
13,1,1,partial,1,2,1,0.0
13,1,1,partial,1,2,2,0.0
13,1,1,partial,1,2,3,0.0
13,1,2,partial,0,2,0,0.0
13,1,2,partial,0,2,1,0.0
13,1,2,partial,0,2,2,1.0
13,1,2,partial,0,2,3,0.0
13,1,3,partial,1,2,0,0.0
13,1,3,partial,1,2,1,0.0
13,1,3,partial,1,2,2,0.0
13,1,3,partial,1,2,3,0.0
13,1,4,partial,0,1,0,0.0
13,1,4,partial,0,1,1,0.0
13,1,4,partial,0,1,2,1.0
13,1,4,partial,0,1,3,0.0
13,1,5,partial,1,2,0,0.0
13,1,5,partial,1,2,1,0.0
13,1,5,partial,1,2,2,0.0
13,1,5,partial,1,2,3,0.0
13,1,6,partial,0,1,0,0.0
13,1,6,partial,0,1,1,0.0
13,1,6,partial,0,1,2,1.0
13,1,6,partial,0,1,3,0.0
13,1,7,partial,1,1,0,0.0
13,1,7,partial,1,1,1,0.0
13,1,7,partial,1,1,2,0.0
13,1,7,partial,1,1,3,0.0
13,1,8,partial,0,1,0,0.333333333333
13,1,8,partial,0,1,1,0.0
13,1,8,partial,0,1,2,1.0
13,1,8,partial,0,1,3,0.0
13,1,9,partial,1,2,0,0.0
13,1,9,partial,1,2,1,0.0
13,1,9,partial,1,2,2,0.0
13,1,9,partial,1,2,3,0.0
13,1,10,partial,0,1,0,0.5
13,1,10,partial,0,1,1,0.2
13,1,10,partial,0,1,2,1.0
13,1,10,partial,0,1,3,0.0
13,1,11,partial,1,2,0,0.0
13,1,11,partial,1,2,1,0.333333333333
13,1,11,partial,1,2,2,0.0
13,1,11,partial,1,2,3,0.0
13,1,12,partial,0,1,0,0.6
13,1,12,partial,0,1,1,0.333333333333
13,1,12,partial,0,1,2,1.0
13,1,12,partial,0,1,3,0.0
13,1,13,partial,1,1,0,0.0
13,1,13,partial,1,1,1,0.5
13,1,13,partial,1,1,2,0.0
13,1,13,partial,1,1,3,0.0
13,1,14,partial,0,1,0,0.714285714286
13,1,14,partial,0,1,1,0.333333333333
13,1,14,partial,0,1,2,1.0
13,1,14,partial,0,1,3,0.0
13,1,15,partial,1,2,0,0.0
13,1,15,partial,1,2,1,0.5
13,1,15,partial,1,2,2,0.0
13,1,15,partial,1,2,3,0.0
13,1,16,partial,0,1,0,0.625
13,1,16,partial,0,1,1,0.428571428571
13,1,16,partial,0,1,2,1.0
13,1,16,partial,0,1,3,0.0
13,1,17,partial,1,2,0,0.0
13,1,17,partial,1,2,1,0.5
13,1,17,partial,1,2,2,0.0
13,1,17,partial,1,2,3,0.0
13,1,18,partial,0,1,0,0.555555555556
13,1,18,partial,0,1,1,0.375
13,1,18,partial,0,1,2,1.0
13,1,18,partial,0,1,3,0.0
13,1,19,partial,1,1,0,0.0
13,1,19,partial,1,1,1,0.5
13,1,19,partial,1,1,2,0.0
13,1,19,partial,1,1,3,0.0
13,1,20,partial,0,1,0,0.636363636364
13,1,20,partial,0,1,1,0.375
13,1,20,partial,0,1,2,1.0
13,1,20,partial,0,1,3,0.0
13,1,21,partial,1,4,0,0.5
13,1,21,partial,1,4,1,0.5
13,1,21,partial,1,4,2,0.0
13,1,21,partial,1,4,3,0.0
13,1,22,partial,0,1,0,0.666666666667
13,1,22,partial,0,1,1,0.375
13,1,22,partial,0,1,2,1.0
13,1,22,partial,0,1,3,0.0
13,1,23,partial,1,1,0,0.5
13,1,23,partial,1,1,1,0.5
13,1,23,partial,1,1,2,0.0
13,1,23,partial,1,1,3,0.0
13,1,24,partial,0,1,0,0.714285714286
13,1,24,partial,0,1,1,0.375
13,1,24,partial,0,1,2,1.0
13,1,24,partial,0,1,3,0.0
13,1,25,partial,1,1,0,0.75
13,1,25,partial,1,1,1,0.5
13,1,25,partial,1,1,2,0.0
13,1,25,partial,1,1,3,0.0
13,1,26,partial,0,3,0,0.6875
13,1,26,partial,0,3,1,0.375
13,1,26,partial,0,3,2,1.0
13,1,26,partial,0,3,3,0.0
13,1,27,partial,1,2,0,0.75
13,1,27,partial,1,2,1,0.5
13,1,27,partial,1,2,2,0.0
13,1,27,partial,1,2,3,0.0
13,1,28,partial,0,1,0,0.6875
13,1,28,partial,0,1,1,0.444444444444
13,1,28,partial,0,1,2,0.5
13,1,28,partial,0,1,3,0.0
13,1,29,partial,1,1,0,0.75
13,1,29,partial,1,1,1,0.5
13,1,29,partial,1,1,2,0.0
13,1,29,partial,1,1,3,0.0
13,1,30,partial,0,2,0,0.722222222222
13,1,30,partial,0,2,1,0.444444444444
13,1,30,partial,0,2,2,0.5
13,1,30,partial,0,2,3,0.0
13,1,31,partial,1,1,0,0.8
13,1,31,partial,1,1,1,0.4
13,1,31,partial,1,1,2,0.0
13,1,31,partial,1,1,3,0.0
13,1,32,partial,0,1,0,0.736842105263
13,1,32,partial,0,1,1,0.4
13,1,32,partial,0,1,2,0.5
13,1,32,partial,0,1,3,0.0
