,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
0,1.0,1.0,0.5,0.9411764705882353,0.9411764705882353,3,control,0,18,0,91
1,2.0,1.0,0.3333333333333333,0.9411764705882353,0.9411764705882353,3,control,0,18,0,91
2,3.0,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,3,control,0,18,0,91
3,4.0,1.0,0.5,0.9411764705882353,0.9411764705882353,3,control,0,18,0,91
0,1.0,1.0,0.5,0.9444444444444444,0.9444444444444444,3,control,0,19,1,91
1,2.0,1.0,0.3333333333333333,0.9444444444444443,0.9444444444444443,3,control,0,19,1,91
2,3.0,1.0,0.9444444444444444,0.9444444444444443,0.9444444444444443,3,control,0,19,1,91
3,4.0,1.0,0.5,0.9444444444444444,0.9444444444444444,3,control,0,19,1,91
0,1.0,1.0,0.5,0.9473684210526315,0.9473684210526315,3,control,0,20,0,91
1,2.0,1.0,0.3333333333333333,0.9473684210526315,0.9473684210526315,3,control,0,20,0,91
2,3.0,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,3,control,0,20,0,91
3,4.0,1.0,0.5,0.9473684210526315,0.9473684210526315,3,control,0,20,0,91
0,1.0,1.0,0.5,0.95,0.95,3,control,0,21,1,91
1,2.0,1.0,0.3333333333333333,0.95,0.95,3,control,0,21,1,91
2,3.0,1.0,0.95,0.95,0.95,3,control,0,21,1,91
3,4.0,1.0,0.5,0.95,0.95,3,control,0,21,1,91
0,1.0,1.0,0.5,0.9047619047619048,0.9047619047619048,3,control,0,22,0,91
1,2.0,1.0,0.3333333333333333,0.9047619047619047,0.9047619047619047,3,control,0,22,0,91
2,3.0,1.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,3,control,0,22,0,91
3,4.0,1.0,0.5,0.9047619047619048,0.9047619047619048,3,control,0,22,0,91
0,1.0,1.0,0.5,0.9090909090909091,0.9090909090909091,3,control,0,23,1,91
1,2.0,1.0,0.3333333333333333,0.909090909090909,0.909090909090909,3,control,0,23,1,91
2,3.0,1.0,0.9090909090909091,0.909090909090909,0.909090909090909,3,control,0,23,1,91
3,4.0,1.0,0.5,0.9090909090909091,0.9090909090909091,3,control,0,23,1,91
0,1.0,1.0,0.5,0.9130434782608695,0.9130434782608695,3,control,0,24,0,91
1,2.0,1.0,0.3333333333333333,0.9130434782608694,0.9130434782608694,3,control,0,24,0,91
2,3.0,1.0,0.9130434782608695,0.9130434782608695,0.9130434782608695,3,control,0,24,0,91
3,4.0,1.0,0.5,0.9130434782608695,0.9130434782608695,3,control,0,24,0,91
0,1.0,1.0,0.5,0.9166666666666666,0.9166666666666666,3,control,0,25,1,91
1,2.0,1.0,0.3333333333333333,0.9166666666666665,0.9166666666666665,3,control,0,25,1,91
2,3.0,1.0,0.9166666666666666,0.9166666666666667,0.9166666666666667,3,control,0,25,1,91
3,4.0,1.0,0.5,0.9166666666666666,0.9166666666666666,3,control,0,25,1,91
0,1.0,1.0,0.5,0.92,0.92,3,control,0,26,0,91
1,2.0,1.0,0.3333333333333333,0.9199999999999999,0.9199999999999999,3,control,0,26,0,91
2,3.0,1.0,0.92,0.9200000000000002,0.9200000000000002,3,control,0,26,0,91
3,4.0,1.0,0.5,0.92,0.92,3,control,0,26,0,91
0,1.0,1.0,0.5,0.8846153846153846,0.8846153846153846,3,control,0,27,1,91
1,2.0,1.0,0.3333333333333333,0.8846153846153845,0.8846153846153845,3,control,0,27,1,91
2,3.0,1.0,0.8846153846153846,0.8846153846153845,0.8846153846153845,3,control,0,27,1,91
3,4.0,1.0,0.5,0.8846153846153846,0.8846153846153846,3,control,0,27,1,91
0,1.0,1.0,0.5,0.8888888888888888,0.8888888888888888,3,control,0,28,0,91
1,2.0,1.0,0.3333333333333333,0.8888888888888888,0.8888888888888888,3,control,0,28,0,91
2,3.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,3,control,0,28,0,91
3,4.0,1.0,0.5,0.8888888888888888,0.8888888888888888,3,control,0,28,0,91
0,1.0,1.0,0.5,0.8928571428571429,0.8928571428571429,3,control,0,29,1,91
1,2.0,1.0,0.3333333333333333,0.8928571428571428,0.8928571428571428,3,control,0,29,1,91
2,3.0,1.0,0.8928571428571429,0.8928571428571429,0.8928571428571429,3,control,0,29,1,91
3,4.0,1.0,0.5,0.8928571428571429,0.8928571428571429,3,control,0,29,1,91
0,1.0,1.0,0.5,0.8620689655172413,0.8620689655172413,3,control,0,30,0,91
1,2.0,1.0,0.3333333333333333,0.8620689655172413,0.8620689655172413,3,control,0,30,0,91
2,3.0,1.0,0.8620689655172413,0.8620689655172413,0.8620689655172413,3,control,0,30,0,91
3,4.0,1.0,0.5,0.8620689655172413,0.8620689655172413,3,control,0,30,0,91
0,1.0,1.0,0.5,0.8666666666666667,0.8666666666666667,3,control,0,31,1,91
1,2.0,1.0,0.3333333333333333,0.8666666666666666,0.8666666666666666,3,control,0,31,1,91
2,3.0,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,3,control,0,31,1,91
3,4.0,1.0,0.5,0.8666666666666667,0.8666666666666667,3,control,0,31,1,91
0,1.0,1.0,0.5,0.8709677419354839,0.8709677419354839,3,control,0,32,0,91
1,2.0,1.0,0.3333333333333333,0.8709677419354838,0.8709677419354838,3,control,0,32,0,91
2,3.0,1.0,0.8709677419354839,0.8709677419354839,0.8709677419354839,3,control,0,32,0,91
3,4.0,1.0,0.5,0.8709677419354839,0.8709677419354839,3,control,0,32,0,91
0,1.0,1.0,0.5,0.875,0.875,3,control,0,33,1,91
1,2.0,1.0,0.3333333333333333,0.8749999999999999,0.8749999999999999,3,control,0,33,1,91
2,3.0,1.0,0.875,0.875,0.875,3,control,0,33,1,91
3,4.0,1.0,0.5,0.875,0.875,3,control,0,33,1,91
0,1.0,1.0,0.5,0.8787878787878788,0.8787878787878788,3,control,0,34,0,91
1,2.0,1.0,0.3333333333333333,0.8787878787878788,0.8787878787878788,3,control,0,34,0,91
