,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
3,4.0,1.0,0.14285714285714285,0.5238095238095238,0.5238095238095238,3,control,9,36,1,92
0,1.0,1.0,0.2857142857142857,0.5454545454545454,0.5454545454545454,3,control,9,37,0,92
1,2.0,1.0,0.3333333333333333,0.5454545454545454,0.5454545454545454,3,control,9,37,0,92
2,3.0,1.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,3,control,9,37,0,92
3,4.0,1.0,0.14285714285714285,0.5454545454545454,0.5454545454545454,3,control,9,37,0,92
0,1.0,1.0,0.2857142857142857,0.5652173913043478,0.5652173913043478,3,control,9,38,1,92
1,2.0,1.0,0.3333333333333333,0.5652173913043478,0.5652173913043478,3,control,9,38,1,92
2,3.0,1.0,0.5652173913043478,0.5652173913043479,0.5652173913043479,3,control,9,38,1,92
3,4.0,1.0,0.14285714285714285,0.5652173913043477,0.5652173913043477,3,control,9,38,1,92
0,1.0,1.0,0.2857142857142857,0.5833333333333334,0.5833333333333334,3,control,9,39,0,92
1,2.0,1.0,0.3333333333333333,0.5833333333333334,0.5833333333333334,3,control,9,39,0,92
2,3.0,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,3,control,9,39,0,92
3,4.0,1.0,0.14285714285714285,0.5833333333333334,0.5833333333333334,3,control,9,39,0,92
,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,0,0,81
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,0,0,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,0,0,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,0,0,81
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,1,control,0,1,1,81
1,2.0,1.0,0.3333333333333333,0.5,0.5,1,control,0,1,1,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,1,control,0,1,1,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,1,control,0,1,1,81
0,1.0,1.0,0.3333333333333333,0.5,0.5,2,control,0,2,0,81
1,2.0,1.0,0.3333333333333333,0.5,0.5,2,control,0,2,0,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,2,0,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,2,0,81
0,1.0,1.0,0.3333333333333333,0.5,0.5,2,control,0,3,1,81
1,2.0,1.0,0.25,0.5,0.5,2,control,0,3,1,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,3,1,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,3,1,81
0,1.0,1.0,0.3333333333333333,0.5,0.5,2,control,0,4,0,81
1,2.0,1.0,0.4,0.5,0.5,2,control,0,4,0,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,4,0,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,0,4,0,81
0,1.0,1.0,0.3333333333333333,0.5,0.5,3,control,0,5,1,81
1,2.0,1.0,0.3333333333333333,0.5,0.5,3,control,0,5,1,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,3,control,0,5,1,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,3,control,0,5,1,81
0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,control,0,6,0,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,control,0,6,0,81
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,control,0,6,0,81
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,0,6,0,81
0,1.0,1.0,0.3333333333333333,0.5,0.5,4,control,0,7,1,81
1,2.0,1.0,0.3333333333333333,0.5,0.5,4,control,0,7,1,81
2,3.0,1.0,0.5,0.55,0.55,4,control,0,7,1,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,4,control,0,7,1,81
0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,control,0,8,0,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,control,0,8,0,81
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,0,8,0,81
3,4.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,control,0,8,0,81
0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,control,0,9,1,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,control,0,9,1,81
2,3.0,1.0,0.6,0.6666666666666666,0.6666666666666666,2,control,0,9,1,81
3,4.0,1.0,0.6666666666666666,0.7,0.7,2,control,0,9,1,81
0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,control,0,10,0,81
1,2.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,3,control,0,10,0,81
2,3.0,1.0,0.6,0.6666666666666666,0.6666666666666666,3,control,0,10,0,81
3,4.0,1.0,0.6666666666666666,0.7,0.7,3,control,0,10,0,81
0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,control,0,11,1,81
1,2.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,3,control,0,11,1,81
2,3.0,1.0,0.6666666666666666,0.6984126984126984,0.6984126984126984,3,control,0,11,1,81
3,4.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,3,control,0,11,1,81
0,1.0,1.0,0.3333333333333333,0.7142857142857142,0.7142857142857142,3,control,0,12,0,81
1,2.0,1.0,0.42857142857142855,0.7142857142857143,0.7142857142857143,3,control,0,12,0,81
2,3.0,1.0,0.7142857142857143,0.7261904761904762,0.7261904761904762,3,control,0,12,0,81
3,4.0,1.0,0.6666666666666666,0.7380952380952381,0.7380952380952381,3,control,0,12,0,81
0,1.0,1.0,0.3333333333333333,0.75,0.75,3,control,0,13,1,81
1,2.0,1.0,0.42857142857142855,0.75,0.75,3,control,0,13,1,81
2,3.0,1.0,0.75,0.75,0.75,3,control,0,13,1,81
3,4.0,1.0,0.6666666666666666,0.75,0.75,3,control,0,13,1,81
0,1.0,1.0,0.3333333333333333,0.7777777777777777,0.7777777777777777,3,control,0,14,0,81
1,2.0,1.0,0.42857142857142855,0.7777777777777777,0.7777777777777777,3,control,0,14,0,81
2,3.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,3,control,0,14,0,81
3,4.0,1.0,0.6666666666666666,0.7777777777777777,0.7777777777777777,3,control,0,14,0,81
0,1.0,1.0,0.3333333333333333,0.8,0.8,3,control,0,15,1,81
1,2.0,1.0,0.42857142857142855,0.8,0.8,3,control,0,15,1,81
2,3.0,1.0,0.8,0.8000000000000002,0.8000000000000002,3,control,0,15,1,81
3,4.0,1.0,0.6666666666666666,0.8,0.8,3,control,0,15,1,81
0,1.0,1.0,0.3333333333333333,0.8181818181818181,0.8181818181818181,3,control,0,16,0,81
1,2.0,1.0,0.42857142857142855,0.8181818181818181,0.8181818181818181,3,control,0,16,0,81
2,3.0,1.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,3,control,0,16,0,81
3,4.0,1.0,0.6666666666666666,0.8181818181818181,0.8181818181818181,3,control,0,16,0,81
0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,3,control,0,17,1,81
1,2.0,1.0,0.42857142857142855,0.8333333333333333,0.8333333333333333,3,control,0,17,1,81
2,3.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,control,0,17,1,81
3,4.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,3,control,0,17,1,81
0,1.0,1.0,0.3333333333333333,0.8461538461538461,0.8461538461538461,3,control,0,18,0,81
1,2.0,1.0,0.42857142857142855,0.846153846153846,0.846153846153846,3,control,0,18,0,81
2,3.0,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,3,control,0,18,0,81
3,4.0,1.0,0.6666666666666666,0.8461538461538461,0.8461538461538461,3,control,0,18,0,81
0,1.0,1.0,0.3333333333333333,0.8571428571428571,0.8571428571428571,3,control,0,19,1,81
1,2.0,1.0,0.42857142857142855,0.857142857142857,0.857142857142857,3,control,0,19,1,81
2,3.0,1.0,0.8571428571428571,0.8571428571428572,0.8571428571428572,3,control,0,19,1,81
3,4.0,1.0,0.6666666666666666,0.8571428571428571,0.8571428571428571,3,control,0,19,1,81
0,1.0,1.0,0.3333333333333333,0.8666666666666666,0.8666666666666666,3,control,0,20,0,81
1,2.0,1.0,0.42857142857142855,0.8666666666666667,0.8666666666666667,3,control,0,20,0,81
2,3.0,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,3,control,0,20,0,81
3,4.0,1.0,0.6666666666666666,0.8666666666666666,0.8666666666666666,3,control,0,20,0,81
0,1.0,1.0,0.3333333333333333,0.8749999999999999,0.8749999999999999,3,control,0,21,1,81
1,2.0,1.0,0.42857142857142855,0.875,0.875,3,control,0,21,1,81
2,3.0,1.0,0.875,0.8749999999999999,0.8749999999999999,3,control,0,21,1,81
3,4.0,1.0,0.6666666666666666,0.8749999999999999,0.8749999999999999,3,control,0,21,1,81
0,1.0,1.0,0.3333333333333333,0.8823529411764705,0.8823529411764705,3,control,0,22,0,81
1,2.0,1.0,0.42857142857142855,0.8823529411764706,0.8823529411764706,3,control,0,22,0,81
2,3.0,1.0,0.8823529411764706,0.8823529411764705,0.8823529411764705,3,control,0,22,0,81
3,4.0,1.0,0.6666666666666666,0.8823529411764705,0.8823529411764705,3,control,0,22,0,81
0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,3,control,0,23,1,81
1,2.0,1.0,0.42857142857142855,0.8333333333333333,0.8333333333333333,3,control,0,23,1,81
2,3.0,1.0,0.8333333333333334,0.8333333333333333,0.8333333333333333,3,control,0,23,1,81
3,4.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,3,control,0,23,1,81
0,1.0,1.0,0.3333333333333333,0.8421052631578947,0.8421052631578947,3,control,0,24,0,81
1,2.0,1.0,0.42857142857142855,0.8421052631578947,0.8421052631578947,3,control,0,24,0,81
2,3.0,1.0,0.8421052631578947,0.8421052631578947,0.8421052631578947,3,control,0,24,0,81
3,4.0,1.0,0.6666666666666666,0.8421052631578947,0.8421052631578947,3,control,0,24,0,81
0,1.0,1.0,0.3333333333333333,0.85,0.85,3,control,0,25,1,81
1,2.0,1.0,0.42857142857142855,0.8499999999999999,0.8499999999999999,3,control,0,25,1,81
2,3.0,1.0,0.85,0.85,0.85,3,control,0,25,1,81
3,4.0,1.0,0.6666666666666666,0.85,0.85,3,control,0,25,1,81
0,1.0,1.0,0.3333333333333333,0.8571428571428571,0.8571428571428571,3,control,0,26,0,81
1,2.0,1.0,0.42857142857142855,0.857142857142857,0.857142857142857,3,control,0,26,0,81
2,3.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,3,control,0,26,0,81
3,4.0,1.0,0.6666666666666666,0.8571428571428571,0.8571428571428571,3,control,0,26,0,81
0,1.0,1.0,0.3333333333333333,0.8636363636363635,0.8636363636363635,3,control,0,27,1,81
1,2.0,1.0,0.42857142857142855,0.8636363636363635,0.8636363636363635,3,control,0,27,1,81
2,3.0,1.0,0.8636363636363636,0.8636363636363636,0.8636363636363636,3,control,0,27,1,81
3,4.0,1.0,0.6666666666666666,0.8636363636363635,0.8636363636363635,3,control,0,27,1,81
0,1.0,1.0,0.3333333333333333,0.8260869565217391,0.8260869565217391,3,control,0,28,0,81
1,2.0,1.0,0.42857142857142855,0.8260869565217391,0.8260869565217391,3,control,0,28,0,81
2,3.0,1.0,0.8260869565217391,0.8260869565217392,0.8260869565217392,3,control,0,28,0,81
3,4.0,1.0,0.6666666666666666,0.8260869565217391,0.8260869565217391,3,control,0,28,0,81
0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,3,control,0,29,1,81
1,2.0,1.0,0.42857142857142855,0.8333333333333333,0.8333333333333333,3,control,0,29,1,81
2,3.0,1.0,0.8333333333333334,0.8333333333333333,0.8333333333333333,3,control,0,29,1,81
3,4.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,3,control,0,29,1,81
0,1.0,1.0,0.3333333333333333,0.8399999999999999,0.8399999999999999,3,control,0,30,0,81
1,2.0,1.0,0.42857142857142855,0.84,0.84,3,control,0,30,0,81
2,3.0,1.0,0.84,0.84,0.84,3,control,0,30,0,81
3,4.0,1.0,0.6666666666666666,0.8399999999999999,0.8399999999999999,3,control,0,30,0,81
0,1.0,1.0,0.3333333333333333,0.8461538461538461,0.8461538461538461,3,control,0,31,1,81
1,2.0,1.0,0.42857142857142855,0.846153846153846,0.846153846153846,3,control,0,31,1,81
2,3.0,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,3,control,0,31,1,81
3,4.0,1.0,0.6666666666666666,0.8461538461538461,0.8461538461538461,3,control,0,31,1,81
0,1.0,1.0,0.3333333333333333,0.8148148148148148,0.8148148148148148,3,control,0,32,0,81
1,2.0,1.0,0.42857142857142855,0.8148148148148148,0.8148148148148148,3,control,0,32,0,81
2,3.0,1.0,0.8148148148148148,0.8148148148148148,0.8148148148148148,3,control,0,32,0,81
3,4.0,1.0,0.6666666666666666,0.8148148148148148,0.8148148148148148,3,control,0,32,0,81
0,1.0,1.0,0.3333333333333333,0.8214285714285714,0.8214285714285714,3,control,0,33,1,81
1,2.0,1.0,0.42857142857142855,0.8214285714285714,0.8214285714285714,3,control,0,33,1,81
2,3.0,1.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,3,control,0,33,1,81
3,4.0,1.0,0.6666666666666666,0.8214285714285714,0.8214285714285714,3,control,0,33,1,81
0,1.0,1.0,0.3333333333333333,0.8275862068965517,0.8275862068965517,3,control,0,34,0,81
1,2.0,1.0,0.42857142857142855,0.8275862068965516,0.8275862068965516,3,control,0,34,0,81
2,3.0,1.0,0.8275862068965517,0.8275862068965518,0.8275862068965518,3,control,0,34,0,81
3,4.0,1.0,0.6666666666666666,0.8275862068965517,0.8275862068965517,3,control,0,34,0,81
0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,3,control,0,35,1,81
1,2.0,1.0,0.42857142857142855,0.8333333333333333,0.8333333333333333,3,control,0,35,1,81
2,3.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,control,0,35,1,81
3,4.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,3,control,0,35,1,81
0,1.0,1.0,0.3333333333333333,0.8387096774193548,0.8387096774193548,3,control,0,36,0,81
1,2.0,1.0,0.42857142857142855,0.8387096774193548,0.8387096774193548,3,control,0,36,0,81
2,3.0,1.0,0.8387096774193549,0.8387096774193548,0.8387096774193548,3,control,0,36,0,81
3,4.0,1.0,0.6666666666666666,0.8387096774193548,0.8387096774193548,3,control,0,36,0,81
0,1.0,1.0,0.3333333333333333,0.84375,0.84375,3,control,0,37,1,81
1,2.0,1.0,0.42857142857142855,0.84375,0.84375,3,control,0,37,1,81
2,3.0,1.0,0.84375,0.84375,0.84375,3,control,0,37,1,81
3,4.0,1.0,0.6666666666666666,0.84375,0.84375,3,control,0,37,1,81
0,1.0,1.0,0.3333333333333333,0.8181818181818181,0.8181818181818181,3,control,0,38,0,81
1,2.0,1.0,0.42857142857142855,0.8181818181818181,0.8181818181818181,3,control,0,38,0,81
2,3.0,1.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,3,control,0,38,0,81
3,4.0,1.0,0.6666666666666666,0.8181818181818181,0.8181818181818181,3,control,0,38,0,81
0,1.0,1.0,0.3333333333333333,0.8235294117647058,0.8235294117647058,3,control,0,39,1,81
1,2.0,1.0,0.42857142857142855,0.8235294117647058,0.8235294117647058,3,control,0,39,1,81
2,3.0,1.0,0.8235294117647058,0.823529411764706,0.823529411764706,3,control,0,39,1,81
3,4.0,1.0,0.6666666666666666,0.8235294117647058,0.8235294117647058,3,control,0,39,1,81
,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,0,0,81
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,0,0,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,0,0,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,0,0,81
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,1,control,1,1,1,81
1,2.0,1.0,0.3333333333333333,0.5,0.5,1,control,1,1,1,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,1,control,1,1,1,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,1,control,1,1,1,81
0,1.0,1.0,0.3333333333333333,0.5,0.5,2,control,1,2,0,81
1,2.0,1.0,0.3333333333333333,0.5,0.5,2,control,1,2,0,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,2,0,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,2,0,81
0,1.0,1.0,0.3333333333333333,0.5,0.5,2,control,1,3,1,81
1,2.0,1.0,0.25,0.5,0.5,2,control,1,3,1,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,3,1,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,2,control,1,3,1,81
0,1.0,1.0,0.3333333333333333,0.5,0.5,3,control,1,4,0,81
1,2.0,1.0,0.4,0.5,0.5,3,control,1,4,0,81
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,3,control,1,4,0,81
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,3,control,1,4,0,81
0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,control,1,5,1,81
1,2.0,1.0,0.4,0.6666666666666666,0.6666666666666666,3,control,1,5,1,81
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,control,1,5,1,81
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,1,5,1,81
0,1.0,1.0,0.3333333333333333,0.75,0.75,3,control,1,6,0,81
1,2.0,1.0,0.4,0.75,0.75,3,control,1,6,0,81
2,3.0,1.0,0.75,0.7500000000000001,0.7500000000000001,3,control,1,6,0,81
3,4.0,1.0,0.5,0.75,0.75,3,control,1,6,0,81
0,1.0,1.0,0.3333333333333333,0.6,0.6,4,control,1,7,1,81
1,2.0,1.0,0.4,0.6,0.6,4,control,1,7,1,81
2,3.0,1.0,0.6,0.6,0.6,4,control,1,7,1,81
3,4.0,1.0,0.5,0.6333333333333333,0.6333333333333333,4,control,1,7,1,81
0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,4,control,1,8,0,81
1,2.0,1.0,0.4,0.6666666666666666,0.6666666666666666,4,control,1,8,0,81
2,3.0,1.0,0.6,0.6666666666666666,0.6666666666666666,4,control,1,8,0,81
3,4.0,1.0,0.6666666666666666,0.7,0.7,4,control,1,8,0,81
0,1.0,1.0,0.3333333333333333,0.6,0.6,4,control,1,9,1,81
1,2.0,1.0,0.4,0.6,0.6,4,control,1,9,1,81
2,3.0,1.0,0.6,0.6,0.6,4,control,1,9,1,81
3,4.0,1.0,0.5,0.6,0.6,4,control,1,9,1,81
0,1.0,1.0,0.3333333333333333,0.6,0.6,4,control,1,10,0,81
1,2.0,1.0,0.4,0.6,0.6,4,control,1,10,0,81
2,3.0,1.0,0.6,0.6399999999999999,0.6399999999999999,4,control,1,10,0,81
3,4.0,1.0,0.6,0.6399999999999999,0.6399999999999999,4,control,1,10,0,81
0,1.0,1.0,0.3333333333333333,0.6,0.6,4,control,1,11,1,81
1,2.0,1.0,0.4,0.6,0.6,4,control,1,11,1,81
2,3.0,1.0,0.6,0.6,0.6,4,control,1,11,1,81
3,4.0,1.0,0.5,0.6,0.6,4,control,1,11,1,81
0,1.0,1.0,0.3333333333333333,0.6,0.6,1,control,1,12,0,81
1,2.0,1.0,0.4,0.6,0.6,1,control,1,12,0,81
2,3.0,1.0,0.6,0.6,0.6,1,control,1,12,0,81
3,4.0,1.0,0.42857142857142855,0.5999999999999999,0.5999999999999999,1,control,1,12,0,81
0,1.0,1.0,0.5,0.6,0.6,3,control,1,13,1,81
1,2.0,1.0,0.4,0.6,0.6,3,control,1,13,1,81
2,3.0,1.0,0.6,0.6,0.6,3,control,1,13,1,81
3,4.0,1.0,0.42857142857142855,0.5999999999999999,0.5999999999999999,3,control,1,13,1,81
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,1,14,0,81
1,2.0,1.0,0.4,0.6666666666666666,0.6666666666666666,3,control,1,14,0,81
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,control,1,14,0,81
3,4.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,3,control,1,14,0,81
0,1.0,1.0,0.5,0.7142857142857143,0.7142857142857143,3,control,1,15,1,81
1,2.0,1.0,0.4,0.7142857142857143,0.7142857142857143,3,control,1,15,1,81
2,3.0,1.0,0.7142857142857143,0.7142857142857142,0.7142857142857142,3,control,1,15,1,81
3,4.0,1.0,0.42857142857142855,0.7142857142857143,0.7142857142857143,3,control,1,15,1,81
0,1.0,1.0,0.5,0.625,0.625,3,control,1,16,0,81
1,2.0,1.0,0.4,0.625,0.625,3,control,1,16,0,81
2,3.0,1.0,0.625,0.625,0.625,3,control,1,16,0,81
3,4.0,1.0,0.42857142857142855,0.625,0.625,3,control,1,16,0,81
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,2,control,1,17,1,81
1,2.0,1.0,0.4,0.6666666666666666,0.6666666666666666,2,control,1,17,1,81
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,control,1,17,1,81
3,4.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,2,control,1,17,1,81
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1,control,1,18,0,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,18,0,81
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,control,1,18,0,81
3,4.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,1,control,1,18,0,81
0,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,3,control,1,19,1,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,control,1,19,1,81
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,control,1,19,1,81
3,4.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,3,control,1,19,1,81
0,1.0,1.0,0.6,0.6399999999999999,0.6399999999999999,1,control,1,20,0,81
1,2.0,1.0,0.3333333333333333,0.6,0.6,1,control,1,20,0,81
2,3.0,1.0,0.6,0.6218181818181818,0.6218181818181818,1,control,1,20,0,81
3,4.0,1.0,0.42857142857142855,0.5999999999999999,0.5999999999999999,1,control,1,20,0,81
0,1.0,1.0,0.6666666666666666,0.6761904761904761,0.6761904761904761,3,control,1,21,1,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,control,1,21,1,81
2,3.0,1.0,0.6,0.6666666666666666,0.6666666666666666,3,control,1,21,1,81
3,4.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,3,control,1,21,1,81
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,control,1,22,0,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,22,0,81
2,3.0,1.0,0.5454545454545454,0.6666666666666665,0.6666666666666665,1,control,1,22,0,81
3,4.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,1,control,1,22,0,81
0,1.0,1.0,0.7142857142857143,0.7142857142857142,0.7142857142857142,1,control,1,23,1,81
1,2.0,1.0,0.3333333333333333,0.7142857142857142,0.7142857142857142,1,control,1,23,1,81
2,3.0,1.0,0.5454545454545454,0.7142857142857142,0.7142857142857142,1,control,1,23,1,81
3,4.0,1.0,0.42857142857142855,0.7142857142857143,0.7142857142857143,1,control,1,23,1,81
0,1.0,1.0,0.625,0.625,0.625,1,control,1,24,0,81
1,2.0,1.0,0.3333333333333333,0.625,0.625,1,control,1,24,0,81
2,3.0,1.0,0.5454545454545454,0.625,0.625,1,control,1,24,0,81
3,4.0,1.0,0.42857142857142855,0.625,0.625,1,control,1,24,0,81
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,control,1,25,1,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,25,1,81
2,3.0,1.0,0.5454545454545454,0.6666666666666665,0.6666666666666665,1,control,1,25,1,81
3,4.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,1,control,1,25,1,81
0,1.0,1.0,0.6,0.6,0.6,1,control,1,26,0,81
1,2.0,1.0,0.3333333333333333,0.6,0.6,1,control,1,26,0,81
2,3.0,1.0,0.5454545454545454,0.5999999999999999,0.5999999999999999,1,control,1,26,0,81
3,4.0,1.0,0.42857142857142855,0.5999999999999999,0.5999999999999999,1,control,1,26,0,81
0,1.0,1.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,3,control,1,27,1,81
1,2.0,1.0,0.3333333333333333,0.6363636363636362,0.6363636363636362,3,control,1,27,1,81
2,3.0,1.0,0.5454545454545454,0.6363636363636362,0.6363636363636362,3,control,1,27,1,81
3,4.0,1.0,0.42857142857142855,0.6363636363636362,0.6363636363636362,3,control,1,27,1,81
0,1.0,1.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,1,control,1,28,0,81
1,2.0,1.0,0.3333333333333333,0.6363636363636362,0.6363636363636362,1,control,1,28,0,81
2,3.0,1.0,0.5,0.6363636363636364,0.6363636363636364,1,control,1,28,0,81
3,4.0,1.0,0.42857142857142855,0.6363636363636362,0.6363636363636362,1,control,1,28,0,81
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,control,1,29,1,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,4,control,1,29,1,81
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,4,control,1,29,1,81
3,4.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,4,control,1,29,1,81
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,control,1,30,0,81
1,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,control,1,30,0,81
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1,control,1,30,0,81
3,4.0,1.0,0.375,0.6666666666666666,0.6666666666666666,1,control,1,30,0,81
0,1.0,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,1,control,1,31,1,81
1,2.0,1.0,0.3333333333333333,0.6923076923076923,0.6923076923076923,1,control,1,31,1,81
2,3.0,1.0,0.5,0.6923076923076923,0.6923076923076923,1,control,1,31,1,81
3,4.0,1.0,0.375,0.6923076923076923,0.6923076923076923,1,control,1,31,1,81
0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1,control,1,32,0,81
1,2.0,1.0,0.3333333333333333,0.7142857142857142,0.7142857142857142,1,control,1,32,0,81
2,3.0,1.0,0.5,0.7142857142857143,0.7142857142857143,1,control,1,32,0,81
3,4.0,1.0,0.375,0.7142857142857143,0.7142857142857143,1,control,1,32,0,81
0,1.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,1,control,1,33,1,81
1,2.0,1.0,0.3333333333333333,0.7333333333333332,0.7333333333333332,1,control,1,33,1,81
