,arm,p,reward,exploit0,exploit1,room,game,move,condition,player,chosen_arm
1,2.0,1.0,0.5,0.75,0.75,17,1,2,control,1,1
2,3.0,1.0,0.5,0.75,0.75,17,1,2,control,1,1
3,4.0,1.0,0.5,0.75,0.75,17,1,2,control,1,1
0,1.0,1.0,0.8,0.8,0.8,17,1,3,control,0,2
1,2.0,1.0,0.5,0.8,0.8,17,1,3,control,0,2
2,3.0,1.0,0.5,0.8,0.8,17,1,3,control,0,2
3,4.0,1.0,0.5,0.8,0.8,17,1,3,control,0,2
0,1.0,1.0,0.8,0.8,0.8,17,1,4,control,1,1
1,2.0,1.0,0.6666666666666666,0.8,0.8,17,1,4,control,1,1
2,3.0,1.0,0.5,0.8,0.8,17,1,4,control,1,1
3,4.0,1.0,0.5,0.8,0.8,17,1,4,control,1,1
0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,17,1,5,control,0,3
1,2.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,17,1,5,control,0,3
2,3.0,1.0,0.5,0.8333333333333334,0.8333333333333334,17,1,5,control,0,3
3,4.0,1.0,0.5,0.8333333333333334,0.8333333333333334,17,1,5,control,0,3
0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,17,1,6,control,1,1
1,2.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,17,1,6,control,1,1
2,3.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,17,1,6,control,1,1
3,4.0,1.0,0.5,0.8333333333333334,0.8333333333333334,17,1,6,control,1,1
0,1.0,1.0,0.7142857142857143,0.7261904761904762,0.7261904761904762,17,1,7,control,0,4
1,2.0,1.0,0.6666666666666666,0.7380952380952381,0.7380952380952381,17,1,7,control,0,4
2,3.0,1.0,0.6666666666666666,0.7380952380952381,0.7380952380952381,17,1,7,control,0,4
3,4.0,1.0,0.5,0.7142857142857143,0.7142857142857143,17,1,7,control,0,4
0,1.0,1.0,0.7142857142857143,0.7261904761904762,0.7261904761904762,17,1,8,control,1,1
1,2.0,1.0,0.6666666666666666,0.7380952380952381,0.7380952380952381,17,1,8,control,1,1
2,3.0,1.0,0.6666666666666666,0.7380952380952381,0.7380952380952381,17,1,8,control,1,1
3,4.0,1.0,0.6666666666666666,0.7380952380952381,0.7380952380952381,17,1,8,control,1,1
0,1.0,1.0,0.75,0.75,0.75,17,1,9,control,0,1
1,2.0,1.0,0.6666666666666666,0.75,0.75,17,1,9,control,0,1
2,3.0,1.0,0.6666666666666666,0.75,0.75,17,1,9,control,0,1
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,1,9,control,0,1
0,1.0,1.0,0.6666666666666666,0.6888888888888889,0.6888888888888889,17,1,10,control,1,1
1,2.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,1,10,control,1,1
2,3.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,1,10,control,1,1
3,4.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,1,10,control,1,1
0,1.0,1.0,0.7,0.709090909090909,0.709090909090909,17,1,11,control,0,2
1,2.0,1.0,0.6666666666666666,0.7333333333333333,0.7333333333333333,17,1,11,control,0,2
2,3.0,1.0,0.6666666666666666,0.7333333333333333,0.7333333333333333,17,1,11,control,0,2
3,4.0,1.0,0.6666666666666666,0.7333333333333333,0.7333333333333333,17,1,11,control,0,2
0,1.0,1.0,0.7,0.7499999999999999,0.7499999999999999,17,1,12,control,1,1
1,2.0,1.0,0.75,0.7750000000000001,0.7750000000000001,17,1,12,control,1,1
2,3.0,1.0,0.6666666666666666,0.75,0.75,17,1,12,control,1,1
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,1,12,control,1,1
0,1.0,1.0,0.7272727272727273,0.75,0.75,17,1,13,control,0,3
1,2.0,1.0,0.75,0.781818181818182,0.781818181818182,17,1,13,control,0,3
2,3.0,1.0,0.6666666666666666,0.75,0.75,17,1,13,control,0,3
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,1,13,control,0,3
0,1.0,1.0,0.7272727272727273,0.75,0.75,17,1,14,control,1,1
1,2.0,1.0,0.75,0.781818181818182,0.781818181818182,17,1,14,control,1,1
2,3.0,1.0,0.5,0.75,0.75,17,1,14,control,1,1
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,1,14,control,1,1
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,0,control,0,1
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,0,control,0,1
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,0,control,0,1
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,0,control,0,1
0,1.0,1.0,0.3333333333333333,0.5,0.5,17,2,1,control,1,1
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,1,control,1,1
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,1,control,1,1
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,1,control,1,1
0,1.0,1.0,0.5,0.55,0.55,17,2,2,control,0,2
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,2,control,0,2
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,2,control,0,2
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,2,2,control,0,2
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,2,3,control,1,1
1,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,2,3,control,1,1
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,2,3,control,1,1
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,2,3,control,1,1
0,1.0,1.0,0.4,0.6666666666666666,0.6666666666666666,17,2,4,control,0,3
1,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,2,4,control,0,3
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,2,4,control,0,3
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,2,4,control,0,3
0,1.0,1.0,0.4,0.6666666666666666,0.6666666666666666,17,2,5,control,1,1
1,2.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,2,5,control,1,1
2,3.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,2,5,control,1,1
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,2,5,control,1,1
0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,17,2,6,control,0,4
1,2.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,2,6,control,0,4
2,3.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,2,6,control,0,4
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,2,6,control,0,4
0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,17,2,7,control,1,3
1,2.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,2,7,control,1,3
2,3.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,2,7,control,1,3
3,4.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,2,7,control,1,3
0,1.0,1.0,0.3333333333333333,0.75,0.75,17,2,8,control,0,1
1,2.0,1.0,0.6666666666666666,0.75,0.75,17,2,8,control,0,1
2,3.0,1.0,0.75,0.7666666666666667,0.7666666666666667,17,2,8,control,0,1
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,2,8,control,0,1
0,1.0,1.0,0.42857142857142855,0.75,0.75,17,2,9,control,1,3
1,2.0,1.0,0.6666666666666666,0.75,0.75,17,2,9,control,1,3
2,3.0,1.0,0.75,0.7666666666666667,0.7666666666666667,17,2,9,control,1,3
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,2,9,control,1,3
0,1.0,1.0,0.42857142857142855,0.8,0.8,17,2,10,control,0,2
1,2.0,1.0,0.6666666666666666,0.8,0.8,17,2,10,control,0,2
2,3.0,1.0,0.8,0.8,0.8,17,2,10,control,0,2
3,4.0,1.0,0.6666666666666666,0.8,0.8,17,2,10,control,0,2
0,1.0,1.0,0.42857142857142855,0.8,0.8,17,2,11,control,1,3
1,2.0,1.0,0.75,0.8,0.8,17,2,11,control,1,3
2,3.0,1.0,0.8,0.8166666666666668,0.8166666666666668,17,2,11,control,1,3
3,4.0,1.0,0.6666666666666666,0.8,0.8,17,2,11,control,1,3
0,1.0,1.0,0.42857142857142855,0.8333333333333333,0.8333333333333333,17,2,12,control,0,3
1,2.0,1.0,0.75,0.8333333333333334,0.8333333333333334,17,2,12,control,0,3
2,3.0,1.0,0.8333333333333334,0.8392857142857143,0.8392857142857143,17,2,12,control,0,3
3,4.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,17,2,12,control,0,3
0,1.0,1.0,0.42857142857142855,0.75,0.75,17,2,13,control,1,3
1,2.0,1.0,0.75,0.7785714285714287,0.7785714285714287,17,2,13,control,1,3
2,3.0,1.0,0.7142857142857143,0.75,0.75,17,2,13,control,1,3
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,2,13,control,1,3
0,1.0,1.0,0.42857142857142855,0.75,0.75,17,2,14,control,0,4
1,2.0,1.0,0.75,0.7666666666666667,0.7666666666666667,17,2,14,control,0,4
2,3.0,1.0,0.625,0.75,0.75,17,2,14,control,0,4
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,2,14,control,0,4
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,3,0,control,1,1
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,3,0,control,1,1
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,3,0,control,1,1
