,agreement,condition_agreement,param_discount_factor,param_exploit_weight,param_w1,param_w2
0,0.6028867713004483,[ 0.6955625   0.53370265  0.47540064],1.0,1.0,1.0,1.0
0,0.6309244791666666,[ 0.70379167  0.57683712  0.53541667],0.6097546886182974,0.17092003812722234,0.29116695607833243,0.4802386655518128
0,0.6417224702380953,[ 0.7105625   0.58958333  0.55967262],0.8504017426270934,0.9300485399185895,0.3833147504697503,0.22725497241372317
0,0.613383556547619,[ 0.69675     0.55297348  0.49255952],0.9959817827949445,0.5345472833264968,0.7781710705855428,0.04354890809019796
0,0.642875744047619,[ 0.71227083  0.59026515  0.56056548],0.6853466894044316,0.9677961478369584,0.40234433694122207,0.5491939723500009
0,0.6150576636904761,[ 0.69775     0.55558712  0.49166667],0.4901080256835164,0.06861869785250185,0.5375724516048492,0.6313225812278985
0,0.6427269345238095,[ 0.7116875   0.59037879  0.56145833],0.14532111069324782,0.8997673532707614,0.6213043915225109,0.88848142858997
0,0.6426153273809524,[ 0.7116875   0.59015152  0.56145833],0.48193268228543584,0.9573838315821055,0.13101963485643997,0.18492180562187943
0,0.6243675595238095,[ 0.69977083  0.57043561  0.50952381],0.8153977216820808,0.4032759710362842,0.6375228963840711,0.4793201896454544
0,0.6441127232142857,[ 0.711875    0.59184659  0.57075893],0.0036545770776974518,0.3379007792831322,0.6761947240303552,0.4846718750076451
0,0.6426990327380953,[ 0.7116875   0.59020833  0.56235119],0.34017403581392136,0.8408230538318442,0.7518892946232555,0.13727760662041144
0,0.6427734375,[ 0.71179167  0.59037879  0.56145833],0.3609343955682992,0.5401781549621046,0.5024931200332841,0.7373811690266842
0,0.6427455357142857,[ 0.7116875   0.59047348  0.5610119 ],0.13413737178281815,0.6567812987005911,0.09904271405972098,0.172729636986807
0,0.6386393229166667,[ 0.7089375   0.5863447   0.54739583],0.8415752866656199,0.5120878248735862,0.4720384799664392,0.04076931759870994
0,0.6426060267857143,[ 0.7116875   0.59024621  0.56056548],0.2201733333013578,0.5524551003967234,0.037881635039248684,0.2425562091083172
0,0.6425223214285715,[ 0.71185417  0.58992424  0.56056548],0.5658819831476376,0.4776899083283319,0.3864469435502592,0.019893198573659676
0,0.6005208333333334,[ 0.6945625   0.53263258  0.46220238],0.5369333308234866,0.03908730371139879,0.4728402488606962,0.46529379357844947
0,0.5940941220238095,[ 0.694125    0.52104167  0.45357143],0.9330708640695052,0.20803251729117056,0.5682868684277558,0.5036112402701656
0,0.5304361979166666,[ 0.69275     0.40594697  0.34918155],0.9822317155973886,0.023232326545969406,0.7778268251150134,0.40764252258456024
0,0.5936755952380952,[ 0.6945      0.51967803  0.45491071],0.8837824353775703,0.1078245400553357,0.03918505658398841,0.5052968945136763
0,0.6426897321428572,[0.71179167 0.59032197 0.56056548],0.3597044477286657,0.33663963794207363,0.2977655593641979,0.61126222184085
0,0.6426711309523809,[0.7116875  0.59026515 0.56145833],0.27795509862610845,0.9534894703815833,0.3363477175911306,0.616515432274627
0,0.6428571428571429,[0.71204167 0.59032197 0.56145833],0.3165947101350054,0.5904697982588801,0.28089898929301405,0.6355686826285871
0,0.6392299107142858,[0.709125   0.58679924 0.55193452],0.9301628582177653,0.9225411391685194,0.3054475566353455,0.15092354563219845
0,0.6284551711309524,[0.70202083 0.57543561 0.51956845],0.9687973186005724,0.457309593271112,0.2514411707897136,0.07509039645972182
0,0.6427269345238095,[0.7116875  0.59037879 0.56145833],0.19447740364603439,0.9965076829304239,0.33137454837436575,0.646174555581771
0,0.642764136904762,[0.71202083 0.59037879 0.55967262],0.56011718078252,0.3664851194482107,0.2846809187875451,0.2958655787011413
0,0.6425874255952381,[0.7116875  0.5900947  0.56145833],0.17186999583422435,0.6157347384117672,0.504446240000039,0.4289280117297707
0,0.6428106398809523,[0.7116875  0.59054924 0.56145833],0.29640878728247466,0.8934444139356224,0.9291447814297754,0.2942563941492661
0,0.6426432291666666,[0.7116875  0.5900947  0.56235119],0.32406720931350863,0.6181601467770128,0.7900681828574905,0.15845709488424664
0,0.6427176339285714,[0.71172917 0.59032197 0.56145833],0.23836936250901497,0.5288334207487281,0.25891937737326476,0.5785163720395041
0,0.6425502232142857,[0.71185417 0.58986742 0.56145833],0.6467943921280181,0.9573538915525823,0.1398850137360409,0.20860253592525635
0,0.6427827380952381,[0.7116875  0.59049242 0.56145833],0.28960689924763494,0.6259705593128598,0.6322026223647049,0.2839086961252808
0,0.6426432291666666,[0.7116875  0.59020833 0.56145833],0.2290479231780972,0.3901657257701432,0.2402211546822266,0.3292061701409632
0,0.6428943452380952,[0.7116875  0.5907197  0.56145833],0.16533437579350352,0.9062438765715614,0.7922745519235491,0.1669788099035695
0,0.6322637648809524,[0.70416667 0.58024621 0.52738095],0.5913949643668077,0.2600437003006266,0.8351810146032276,0.5817342545121492
0,0.6402994791666667,[0.7093125  0.58827652 0.55610119],0.6473784598683143,0.7678693594663047,0.24369999163892964,0.9231257169812309
0,0.6426711309523809,[0.7116875  0.59026515 0.56145833],0.16435246442460294,0.7527101241280199,0.1056211830985625,0.3508514383665283
0,0.6426339285714285,[0.71191667 0.5900947  0.56056548],0.4337795634904804,0.7010493709829795,0.4576295735001915,0.9922483824950245
0,0.6415922619047619,[0.71139583 0.58901515 0.55610119],0.6546683993088421,0.4193601778895607,0.11546691006740384,0.42369641848950634
0,0.6424572172619047,[0.71164583 0.59020833 0.55877976],0.46851675820074234,0.28431845833304736,0.2438049903488415,0.3794191408004186
0,0.6425316220238095,[0.7116875  0.59011364 0.56041667],0.12754581121012287,0.21040975340899715,0.8932892537669536,0.040197519387132785
0,0.6406901041666667,[0.71020833 0.58837121 0.55520833],0.34365913139480475,0.2849260093308661,0.5070663737935948,0.8802198616345085
0,0.6426153273809524,[0.7116875  0.59015152 0.56145833],0.43318589538465324,0.7263232164518761,0.17876665285548565,0.03266851429045636
0,0.6406994047619048,[0.71020833 0.58839015 0.55520833],0.23801239279824604,0.18648103503108227,0.87227028007867,0.8639156977651344
0,0.6408017113095239,[0.7094375  0.58918561 0.55610119],0.4330381684591451,0.33483775716060193,0.8585522330899001,0.5874389569404979
0,0.6426618303571429,[0.71191667 0.59003788 0.56145833],0.2151237061849791,0.2642541092286572,0.545744424730255,0.7509773411827252
0,0.6426711309523809,[0.7116875  0.59032197 0.5610119 ],0.10925347769111893,0.8628857742746537,0.8933283260270064,0.1843584316566198
0,0.6426990327380953,[0.7116875  0.59032197 0.56145833],0.20474566271932315,0.9418739503659815,0.6327888946323457,0.9122462937495895
0,0.6430478050595237,[0.7116875  0.59110795 0.5608631 ],0.031010779289228463,0.7575660789191937,0.27018984760434384,0.15961441620114158
0,0.6428106398809523,[0.7116875  0.59054924 0.56145833],0.39441817764974696,0.7712734384151074,0.04747505329064361,0.45615490465598063
0,0.5546084449404761,[0.6925     0.45225379 0.37388393],0.10342318841526876,0.00032061762011759143,0.8674047219280661,0.1250323551009126
0,0.6429687500000001,[0.7116875  0.59074811 0.5624256 ],0.011460331643023292,0.032646394657285804,0.5501128511260764,0.3704739733441216
0,0.6428013392857143,[0.71191667 0.59032197 0.56145833],0.4525940910994727,0.7296818496121196,0.5433413708896052,0.70355378671838
0,0.6432756696428571,[0.71235417 0.59089015 0.56145833],0.5873413063188212,0.9885535832022706,0.702894940241991,0.4626005719759113
0,0.6431640625,[0.71229167 0.5907197  0.56145833],0.28724336010362084,0.3082646224481943,0.8946981153250498,0.3344568662784111
0,0.6431361607142857,[0.71229167 0.59066288 0.56145833],0.5568577164467878,0.544917634241742,0.31026352522576783,0.2525000076478413
0,0.6400762648809525,[0.709125   0.58787879 0.55699405],0.5416257749624931,0.35470465814130836,0.8898841271957653,0.40786272677486435
0,0.6424572172619047,[0.71164583 0.59020833 0.55877976],0.39299751648354586,0.30955963397379616,0.39630488176146883,0.5369665456619023
0,0.6404668898809525,[0.7096875  0.58816288 0.55699405],0.7641521410940292,0.8698048339640538,0.1680430176036477,0.6906624216447649
0,0.6426060267857143,[0.71172917 0.59020833 0.56056548],0.2715734911104126,0.21304597680542403,0.18785237900292628,0.5840518403540979
0,0.6428524925595239,[0.7116875  0.59059659 0.56175595],0.007398250399679562,0.17612515482298197,0.008307695226723477,0.6326638576191398
